run,total_cost_eur,total_fuel_kg,total_time_h,end_weight_kg,trajectory_len,best_solution
0,39189.68467746105,52523.30657591227,7.415500195142018,205219.69342408775,31,"[0, 6, 26, 48, 68, 89, 111, 131, 151, 172, 192, 214, 235, 256, 278, 300, 321, 343, 365, 386, 408, 430, 451, 473, 495, 517, 539, 560, 582, 603, 610]"
1,39235.50297068988,52576.504148315325,7.423719322855012,205166.4958516847,31,"[0, 2, 22, 44, 65, 87, 109, 131, 152, 173, 194, 215, 235, 256, 276, 298, 320, 341, 363, 385, 407, 429, 451, 473, 495, 517, 538, 559, 580, 602, 610]"
2,39233.7821145438,52596.21752845783,7.42673293445193,205146.78247154216,31,"[0, 4, 26, 46, 67, 88, 109, 129, 149, 170, 191, 213, 235, 256, 278, 299, 320, 342, 364, 386, 408, 429, 450, 471, 492, 514, 535, 557, 578, 599, 610]"
3,39252.71551464419,52579.8385064593,7.42426620897805,205163.16149354057,31,"[0, 2, 23, 45, 67, 87, 108, 128, 148, 169, 190, 211, 232, 253, 275, 297, 318, 340, 362, 384, 405, 427, 448, 469, 491, 513, 534, 555, 576, 598, 610]"
4,39037.350728363104,52282.82901463858,7.378453595201619,205460.17098536144,31,"[0, 8, 29, 51, 71, 92, 112, 132, 152, 173, 193, 215, 236, 257, 278, 300, 322, 344, 366, 388, 410, 432, 454, 475, 496, 517, 538, 560, 582, 604, 610]"
5,39288.47557890924,52658.99805204678,7.436479165569191,205084.00194795328,31,"[0, 5, 26, 46, 67, 89, 110, 130, 151, 173, 194, 215, 235, 255, 276, 297, 318, 340, 361, 383, 405, 427, 449, 471, 493, 515, 536, 557, 579, 600, 610]"
6,39162.699923994376,52500.1639804257,7.411914963979568,205242.8360195743,31,"[0, 6, 28, 50, 70, 90, 112, 133, 153, 174, 196, 217, 238, 259, 280, 301, 323, 345, 366, 388, 410, 432, 454, 476, 497, 518, 540, 561, 582, 604, 610]"
7,39142.49631061158,52501.65627434509,7.412182371408401,205241.34372565488,31,"[0, 11, 31, 52, 72, 94, 115, 136, 156, 176, 197, 217, 238, 259, 279, 300, 321, 343, 365, 387, 409, 430, 452, 473, 495, 516, 537, 558, 580, 600, 610]"
8,39266.136495867424,52617.7557325486,7.4300508734447845,205125.24426745134,31,"[0, 7, 29, 50, 70, 90, 111, 131, 152, 172, 192, 213, 235, 255, 277, 299, 321, 342, 364, 386, 408, 430, 451, 473, 495, 516, 537, 558, 579, 600, 610]"
9,39169.941950105596,52559.145533183364,7.4210543272565115,205183.8544668166,31,"[0, 6, 26, 46, 68, 90, 112, 133, 154, 175, 196, 217, 237, 258, 279, 300, 322, 343, 364, 386, 408, 429, 450, 472, 493, 514, 535, 557, 579, 600, 610]"
10,39227.23714478068,52595.7026198074,7.42663635330852,205147.29738019258,31,"[0, 8, 29, 49, 70, 91, 112, 134, 155, 176, 197, 218, 238, 259, 280, 302, 324, 346, 368, 389, 411, 433, 455, 475, 497, 518, 539, 560, 580, 602, 610]"
11,39285.53853262257,52615.74603592571,7.429759988109092,205127.25396407436,31,"[0, 3, 25, 46, 67, 88, 109, 129, 149, 171, 191, 211, 232, 254, 275, 297, 318, 340, 362, 384, 406, 428, 450, 472, 493, 515, 536, 557, 578, 600, 610]"
12,39267.189535560734,52633.33804708753,7.432427590601853,205109.66195291246,31,"[0, 7, 29, 51, 72, 92, 112, 133, 154, 175, 196, 216, 238, 259, 281, 302, 323, 345, 367, 389, 411, 433, 455, 477, 497, 519, 541, 563, 585, 607, 610]"
13,39210.8713700889,52533.587871381504,7.417018482590863,205209.41212861848,31,"[0, 8, 29, 50, 71, 91, 112, 133, 153, 174, 196, 216, 237, 259, 280, 302, 324, 346, 368, 390, 412, 434, 456, 478, 499, 521, 543, 564, 585, 607, 610]"
14,39178.02514066068,52498.10800985732,7.4116406544611415,205244.89199014276,31,"[0, 1, 23, 44, 66, 88, 110, 130, 152, 172, 192, 213, 234, 255, 277, 298, 320, 342, 364, 386, 407, 429, 450, 472, 493, 515, 536, 557, 579, 599, 610]"
15,39169.3963402751,52527.56120832106,7.416139350169794,205215.43879167896,31,"[0, 7, 29, 50, 70, 92, 113, 134, 154, 174, 195, 217, 238, 259, 280, 301, 323, 345, 366, 387, 409, 431, 453, 474, 495, 516, 537, 559, 580, 602, 610]"
16,39029.6868383822,52279.23882253796,7.377943085212131,205463.76117746203,31,"[0, 7, 29, 49, 69, 90, 110, 131, 152, 173, 193, 214, 235, 256, 278, 299, 321, 343, 365, 386, 408, 430, 452, 474, 495, 517, 538, 559, 580, 602, 610]"
17,39290.597978091035,52550.803731459324,7.419829137570192,205192.19626854057,31,"[0, 20, 42, 63, 83, 104, 124, 145, 167, 188, 210, 231, 252, 273, 294, 315, 336, 357, 378, 399, 420, 441, 462, 483, 504, 524, 545, 565, 586, 606, 610]"
18,39095.12203228125,52386.90421620101,7.394486472021347,205356.09578379898,31,"[0, 5, 27, 48, 70, 90, 112, 132, 152, 173, 194, 215, 236, 258, 280, 301, 322, 344, 366, 388, 409, 431, 453, 474, 496, 518, 539, 560, 580, 602, 610]"
19,39322.29187296945,52716.79034371908,7.4452512016189205,205026.20965628093,31,"[0, 11, 31, 51, 73, 94, 115, 135, 156, 177, 197, 217, 239, 259, 281, 302, 324, 346, 368, 390, 412, 434, 455, 476, 497, 518, 539, 561, 582, 604, 610]"
20,39126.656015867185,52439.514534378905,7.402677206426338,205303.48546562108,31,"[0, 4, 25, 46, 67, 88, 110, 130, 151, 172, 192, 213, 234, 255, 276, 298, 319, 340, 362, 384, 405, 427, 449, 471, 492, 514, 535, 556, 576, 598, 610]"
