run,total_cost_eur
1,39092.20568367892
2,39140.95088432348
3,39096.410833351656
4,39148.13669948547
5,39065.393380010064
6,39166.039923633696
7,39126.83229231743
8,38986.367180647365
9,39199.526897228374
10,39069.11023981406
11,39075.398058859326
12,39100.1239429396
13,39124.297874968724
14,39059.47011180838
15,39053.698281701065
16,39104.00895604114
17,39115.34960385188
18,39023.722143090556
19,39094.31531049726
20,39106.69353915395
21,39150.00216158854
22,39034.867908555185
23,39228.359714219056
24,39230.484557513606
25,39159.419687789894
26,39173.39913535747
27,39220.72386805808
28,39097.10885743147
29,39207.22287217822
30,39154.81415069509
