run,seed,t_start,total_cost_eur,runtime_sec
1,10001,1.0,38864.928010345575,3.638517999999749
2,10002,1.0,38727.17758384829,3.6997714999961318
3,10003,1.0,38867.302797459284,3.635809200000949
4,10004,1.0,38826.95078492442,3.6696872000029543
5,10005,1.0,38759.515536359904,3.6783702000029734
6,10006,1.0,38846.71896064613,3.655109799998172
7,10007,1.0,38856.24521922878,3.624343499999668
8,10008,1.0,38786.262855896326,3.6256093999982113
9,10009,1.0,38755.31902029031,3.6259628999978304
10,10010,1.0,38775.73986193052,3.5999125999951502
11,10011,1.0,38756.16297003581,3.6133216000016546
12,10012,1.0,38718.05545587691,3.610422899997502
13,10013,1.0,38841.52938060339,3.675319899994065
14,10014,1.0,38751.89929403423,3.609477700003481
15,10015,1.0,38800.06868602997,3.591865799993684
16,10016,1.0,38809.67397546891,3.6344599000003655
17,10017,1.0,38799.85830333766,3.621568800001114
18,10018,1.0,38857.41155127711,3.6495649999997113
19,10019,1.0,38825.07275306123,3.600494600003003
20,10020,1.0,38942.48489995986,3.6215289999963716
21,10021,1.0,38639.90683656039,3.5958055000010063
22,10022,1.0,38750.92109912025,3.594087000004947
23,10023,1.0,38638.93078782923,3.6014854999957606
24,10024,1.0,38733.642807342,3.614171200002602
25,10025,1.0,38912.35639436512,3.594779399994877
26,10026,1.0,38848.44941835757,3.599199600001157
27,10027,1.0,38900.71974972787,3.6097853999963263
28,10028,1.0,38598.07382174658,3.603396700003941
29,10029,1.0,38766.76332285862,3.6103647999989334
30,10030,1.0,38772.404798171454,3.6119400999959907
