run,seed,t_start,total_cost_eur,total_fuel_burn_kg,runtime_sec
1,10001,13.0,39154.20518931271,52342.183348143364,3.7280967000115197
2,10002,13.0,39002.56337973134,52134.9952157762,3.7161363000050187
3,10003,13.0,38984.16268142248,52153.90833785082,3.7002802999923006
4,10004,13.0,39101.6412345322,52271.180861656554,3.737522400013404
5,10005,13.0,39091.84039687177,52389.20088367798,3.7350861000013538
6,10006,13.0,38800.21968711348,51896.42765291743,3.7391656000108924
7,10007,13.0,39143.873632305935,52354.046070554,3.707952299999306
8,10008,13.0,39047.854906746594,52220.17748467476,3.7124294999812264
9,10009,13.0,39075.542830399085,52253.75770304214,3.724782300007064
10,10010,13.0,39216.76640338623,52442.6193033997,3.7363290000066627
11,10011,13.0,39120.710623979496,52319.66590026206,3.728501799982041
12,10012,13.0,38965.56917076139,52106.77738847863,3.69308739999542
13,10013,13.0,38945.332158285,52059.602065083,3.714010800002143
14,10014,13.0,39126.111671871695,52311.605634893865,3.719073499989463
15,10015,13.0,39067.806236968136,52277.64169929964,3.7344806999899447
16,10016,13.0,39032.18772196143,52190.7497851451,3.7412342999887187
17,10017,13.0,39145.0378563295,52346.575630290376,3.716855899983784
18,10018,13.0,39004.233687918364,52154.564741055954,3.6735422000056133
19,10019,13.0,39071.50815292312,52232.94393619111,3.7047669000166934
20,10020,13.0,39074.37469763214,52286.120682389745,3.7377739000075962
21,10021,13.0,39175.78192680217,52361.698287218846,3.7087943999795243
22,10022,13.0,39057.4929064939,52269.587612849784,3.713694799982477
23,10023,13.0,39128.29732857925,52355.502843202536,3.706535800010897
24,10024,13.0,38982.369981904645,52191.43911782682,3.7154544000222813
25,10025,13.0,39040.70381290152,52223.46332676044,3.6963011999905575
26,10026,13.0,39071.719979568414,52264.23596827499,3.709346399991773
27,10027,13.0,39094.33439527078,52262.880818517384,3.7256971999886446
28,10028,13.0,39081.530848393166,52302.535380063906,3.718164699996123
29,10029,13.0,38963.4040897747,52100.86928585266,3.7143634000094607
30,10030,13.0,39097.93058446866,52340.5644592151,3.714523199974792
