run,total_cost_eur
1,39527.969898331634
2,39369.845540128605
3,39476.396018725674
4,39442.68210944756
5,39568.33439455727
6,39537.40412046018
7,39444.46474707412
8,39544.05606692461
9,39563.78212201307
10,39503.33856103977
11,39459.05108394348
12,39456.08718049505
13,39518.975633350994
14,39519.4767995339
15,39573.090104801915
16,39492.23500194272
17,39539.36949209399
18,39517.207494460345
19,39422.69639027258
20,39436.85288071709
21,39394.670868414265
22,39639.5084522169
23,39480.064454239815
24,39610.3168886858
25,39297.9698371069
26,39478.19487187248
27,39625.01573316412
28,39498.425626648015
29,39473.0963481793
30,39594.46976766661
