Gross_Weight   Mach    altitude   fuel_flow
     220000         0.78        28000           7337.23      
     220000         0.78        29000           7143.38      
     220000         0.78        30000           6968.61      
     220000         0.78        31000           6814.06      
     220000         0.78        32000           6681.29      
     220000         0.78        33000           6572.40      
     220000         0.78        34000           6490.22      
     220000         0.78        35000           6438.52      
     220000         0.78        36000           6422.40      
     220000         0.78        37000           6475.48      
     220000         0.78        38000           6582.53      
     220000         0.78        39000           6752.79      
     220000         0.78        40000           7002.59      
     220000         0.78        41000           7354.83      
     220000         0.79        28000           7482.40      
     220000         0.79        29000           7274.74      
     220000         0.79        30000           7086.28      
     220000         0.79        31000           6918.10      
     220000         0.79        32000           6771.69      
     220000         0.79        33000           6649.05      
     220000         0.79        34000           6552.88      
     220000         0.79        35000           6486.81      
     220000         0.79        36000           6455.73      
     220000         0.79        37000           6493.09      
     220000         0.79        38000           6583.17      
     220000         0.79        39000           6734.62      
     220000         0.79        40000           6962.96      
     220000         0.79        41000           7289.86      
     220000         0.80        28000           7636.09      
     220000         0.80        29000           7413.84      
     220000         0.80        30000           7210.97      
     220000         0.80        31000           7028.53      
     220000         0.80        32000           6867.95      
     220000         0.80        33000           6731.17      
     220000         0.80        34000           6620.80      
     220000         0.80        35000           6540.38      
     220000         0.80        36000           6494.64      
     220000         0.80        37000           6517.05      
     220000         0.80        38000           6591.48      
     220000         0.80        39000           6726.25      
     220000         0.80        40000           6936.39      
     220000         0.80        41000           7242.83      
     220000         0.81        28000           7800.38      
     220000         0.81        29000           7562.67      
     220000         0.81        30000           7344.64      
     220000         0.81        31000           7147.30      
     220000         0.81        32000           6972.04      
     220000         0.81        33000           6820.78      
     220000         0.81        34000           6696.11      
     220000         0.81        35000           6601.52      
     220000         0.81        36000           6541.73      
     220000         0.81        37000           6550.33      
     220000         0.81        38000           6610.98      
     220000         0.81        39000           6731.91      
     220000         0.81        40000           6928.05      
     220000         0.81        41000           7220.19      
     220000         0.82        28000           7978.99      
     220000         0.82        29000           7724.96      
     220000         0.82        30000           7491.02      
     220000         0.82        31000           7278.19      
     220000         0.82        32000           7087.89      
     220000         0.82        33000           6922.06      
     220000         0.82        34000           6783.32      
     220000         0.82        35000           6675.24      
     220000         0.82        36000           6602.63      
     220000         0.82        37000           6599.48      
     220000         0.82        38000           6649.43      
     220000         0.82        39000           6760.96      
     220000         0.82        40000           6949.45      
     220000         0.82        41000           7236.33      
     220000         0.83        28000           8178.59      
     220000         0.83        29000           7907.45      
     220000         0.83        30000           7657.04      
     220000         0.83        31000           7428.43      
     220000         0.83        32000           7223.12      
     220000         0.83        33000           7043.14      
     220000         0.83        34000           6891.30      
     220000         0.83        35000           6771.38      
     220000         0.83        36000           6688.51      
     220000         0.83        37000           6677.46      
     220000         0.83        38000           6722.16      
     220000         0.83        39000           6831.92      
     220000         0.83        40000           7023.34      
     220000         0.83        41000           7319.75      
     220000         0.84        28000           8411.20      
     220000         0.84        29000           8122.49      
     220000         0.84        30000           7855.48      
     220000         0.84        31000           7611.40      
     220000         0.84        32000           7391.91      
     220000         0.84        33000           7199.33      
     220000         0.84        34000           7036.80      
     220000         0.84        35000           6908.58      
     220000         0.84        36000           6820.47      
     220000         0.84        37000           6808.74      
     220000         0.84        38000           6858.08      
     220000         0.84        39000           6979.55      
     220000         0.84        40000           7192.42      
     220000         0.84        41000           7524.02      
     220000         0.85        28000           8698.67      
     220000         0.85        29000           8392.59      
     220000         0.85        30000           8109.78      
     220000         0.85        31000           7851.73      
     220000         0.85        32000           7620.49      
     220000         0.85        33000           7418.85      
     220000         0.85        34000           7250.63      
     220000         0.85        35000           7121.02      
     220000         0.85        36000           7037.10      
     220000         0.85        37000           7037.84      
     220000         0.85        38000           7109.57      
     220000         0.85        39000           7266.83      
     220000         0.85        40000           7534.17      
     220000         0.85        41000           7947.07      
     220000         0.86        28000           9081.10      
     220000         0.86        29000           8759.16      
     220000         0.86        30000           8463.00      
     220000         0.86        31000           8194.59      
     220000         0.86        32000           7956.64      
     220000         0.86        33000           7752.85      
     220000         0.86        34000           7588.25      
     220000         0.86        35000           7469.70      
     220000         0.86        36000           7406.62      
     220000         0.86        37000           7442.84      
     220000         0.86        38000           7568.00      
     220000         0.86        39000           7803.35      
     220000         0.86        40000           8184.00      
     220000         0.86        41000           8762.26      
     220000         0.87        28000           9632.84      
     220000         0.87        29000           9298.57      
     220000         0.87        30000           8993.95      
     220000         0.87        31000           8721.78      
     220000         0.87        32000           8485.86      
     220000         0.87        33000           8291.40      
     220000         0.87        34000           8145.47      
     220000         0.87        35000           8057.81      
     220000         0.87        36000           8041.95      
     220000         0.87        37000           8150.34      
     220000         0.87        38000           8378.93      
     220000         0.87        39000           8761.97      
     220000         0.87        40000           9355.80      
     220000         0.87        41000           10248.06     
     224900         0.78        28000           7416.46      
     224900         0.78        29000           7228.10      
     224900         0.78        30000           7059.64      
     224900         0.78        31000           6912.43      
     224900         0.78        32000           6788.30      
     224900         0.78        33000           6689.67      
     224900         0.78        34000           6619.84      
     224900         0.78        35000           6583.20      
     224900         0.78        36000           6585.66      
     224900         0.78        37000           6662.70      
     224900         0.78        38000           6800.01      
     224900         0.78        39000           7008.91      
     224900         0.78        40000           7308.85      
     224900         0.78        41000           7727.35      
     224900         0.79        28000           7558.21      
     224900         0.79        29000           7355.83      
     224900         0.79        30000           7173.45      
     224900         0.79        31000           7012.34      
     224900         0.79        32000           6874.24      
     224900         0.79        33000           6761.49      
     224900         0.79        34000           6677.23      
     224900         0.79        35000           6625.68      
     224900         0.79        36000           6612.51      
     224900         0.79        37000           6672.94      
     224900         0.79        38000           6792.12      
     224900         0.79        39000           6980.68      
     224900         0.79        40000           7257.06      
     224900         0.79        41000           7647.22      
     224900         0.80        28000           7708.28      
     224900         0.80        29000           7491.11      
     224900         0.80        30000           7294.12      
     224900         0.80        31000           7118.51      
     224900         0.80        32000           6965.98      
     224900         0.80        33000           6838.79      
     224900         0.80        34000           6739.98      
     224900         0.80        35000           6673.66      
     224900         0.80        36000           6645.36      
     224900         0.80        37000           6690.21      
     224900         0.80        38000           6792.96      
     224900         0.80        39000           6963.83      
     224900         0.80        40000           7220.65      
     224900         0.80        41000           7588.50      
     224900         0.81        28000           7868.77      
     224900         0.81        29000           7635.99      
     224900         0.81        30000           7423.64      
     224900         0.81        31000           7232.95      
     224900         0.81        32000           7065.55      
     224900         0.81        33000           6923.68      
     224900         0.81        34000           6810.35      
     224900         0.81        35000           6729.64      
     224900         0.81        36000           6687.03      
     224900         0.81        37000           6717.78      
     224900         0.81        38000           6806.43      
     224900         0.81        39000           6963.08      
     224900         0.81        40000           7205.48      
     224900         0.81        41000           7558.50      
     224900         0.82        28000           8043.47      
     224900         0.82        29000           7794.24      
     224900         0.82        30000           7565.89      
     224900         0.82        31000           7359.61      
     224900         0.82        32000           7177.09      
     224900         0.82        33000           7020.58      
     224900         0.82        34000           6893.17      
     224900         0.82        35000           6799.00      
     224900         0.82        36000           6743.67      
     224900         0.82        37000           6762.86      
     224900         0.82        38000           6841.14      
     224900         0.82        39000           6988.94      
     224900         0.82        40000           7224.54      
     224900         0.82        41000           7573.62      
     224900         0.83        28000           8239.26      
     224900         0.83        29000           7972.89      
     224900         0.83        30000           7728.06      
     224900         0.83        31000           7506.05      
     224900         0.83        32000           7308.62      
     224900         0.83        33000           7138.17      
     224900         0.83        34000           6997.96      
     224900         0.83        35000           6892.41      
     224900         0.83        36000           6827.49      
     224900         0.83        37000           6839.75      
     224900         0.83        38000           6914.16      
     224900         0.83        39000           7062.16      
     224900         0.83        40000           7303.55      
     224900         0.83        41000           7666.36      
     224900         0.84        28000           8468.59      
     224900         0.84        29000           8184.76      
     224900         0.84        30000           7923.54      
     224900         0.84        31000           7686.35      
     224900         0.84        32000           7475.19      
     224900         0.84        33000           7292.75      
     224900         0.84        34000           7142.71      
     224900         0.84        35000           7030.04      
     224900         0.84        36000           6961.52      
     224900         0.84        37000           6975.36      
     224900         0.84        38000           7057.55      
     224900         0.84        39000           7221.68      
     224900         0.84        40000           7490.82      
     224900         0.84        41000           7898.01      
     224900         0.85        28000           8754.15      
     224900         0.85        29000           8453.36      
     224900         0.85        30000           8176.89      
     224900         0.85        31000           7926.48      
     224900         0.85        32000           7704.56      
     224900         0.85        33000           7514.40      
     224900         0.85        34000           7360.48      
     224900         0.85        35000           7248.84      
     224900         0.85        36000           7187.79      
     224900         0.85        37000           7218.62      
     224900         0.85        38000           7329.44      
     224900         0.85        39000           7538.10      
     224900         0.85        40000           7874.21      
     224900         0.85        41000           8381.14      
     224900         0.86        28000           9137.64      
     224900         0.86        29000           8821.87      
     224900         0.86        30000           8533.18      
     224900         0.86        31000           8273.91      
     224900         0.86        32000           8047.23      
     224900         0.86        33000           7857.48      
     224900         0.86        34000           7710.55      
     224900         0.86        35000           7614.47      
     224900         0.86        36000           7580.33      
     224900         0.86        37000           7655.06      
     224900         0.86        38000           7831.00      
     224900         0.86        39000           8134.34      
     224900         0.86        40000           8608.00      
     224900         0.86        41000           9316.96      
     224900         0.87        28000           9696.20      
     224900         0.87        29000           9369.69      
     224900         0.87        30000           9074.58      
     224900         0.87        31000           8814.14      
     224900         0.87        32000           8592.86      
     224900         0.87        33000           8416.82      
     224900         0.87        34000           8294.35      
     224900         0.87        35000           8236.89      
     224900         0.87        36000           8260.47      
     224900         0.87        37000           8422.16      
     224900         0.87        38000           8722.50      
     224900         0.87        39000           9204.14      
     224900         0.87        40000           9937.26      
     224900         0.87        41000           11033.08     
     229800         0.78        28000           7498.44      
     229800         0.78        29000           7315.94      
     229800         0.78        30000           7154.24      
     229800         0.78        31000           7014.93      
     229800         0.78        32000           6900.12      
     229800         0.78        33000           6812.65      
     229800         0.78        34000           6756.31      
     229800         0.78        35000           6736.18      
     229800         0.78        36000           6759.16      
     229800         0.78        37000           6862.75      
     229800         0.78        38000           7033.80      
     229800         0.78        39000           7286.10      
     229800         0.78        40000           7642.80      
     229800         0.78        41000           8136.96      
     229800         0.79        28000           7636.66      
     229800         0.79        29000           7439.91      
     229800         0.79        30000           7264.04      
     229800         0.79        31000           7110.54      
     229800         0.79        32000           6981.44      
     229800         0.79        33000           6879.44      
     229800         0.79        34000           6808.18      
     229800         0.79        35000           6772.55      
     229800         0.79        36000           6779.14      
     229800         0.79        37000           6865.14      
     229800         0.79        38000           7016.75      
     229800         0.79        39000           7246.94      
     229800         0.79        40000           7577.62      
     229800         0.79        41000           8039.90      
     229800         0.80        28000           7783.01      
     229800         0.80        29000           7571.28      
     229800         0.80        30000           7380.57      
     229800         0.80        31000           7212.33      
     229800         0.80        32000           7068.51      
     229800         0.80        33000           6951.75      
     229800         0.80        34000           6865.57      
     229800         0.80        35000           6814.74      
     229800         0.80        36000           6805.66      
     229800         0.80        37000           6875.39      
     229800         0.80        38000           7009.70      
     229800         0.80        39000           7221.04      
     229800         0.80        40000           7530.61      
     229800         0.80        41000           7968.40      
     229800         0.81        28000           7939.61      
     229800         0.81        29000           7712.09      
     229800         0.81        30000           7505.86      
     229800         0.81        31000           7322.34      
     229800         0.81        32000           7163.45      
     229800         0.81        33000           7031.80      
     229800         0.81        34000           6930.89      
     229800         0.81        35000           6865.42      
     229800         0.81        36000           6841.78      
     229800         0.81        37000           6897.11      
     229800         0.81        38000           7016.96      
     229800         0.81        39000           7213.70      
     229800         0.81        40000           7508.38      
     229800         0.81        41000           7930.77      
     229800         0.82        28000           8110.34      
     229800         0.82        29000           7866.26      
     229800         0.82        30000           7643.91      
     229800         0.82        31000           7444.71      
     229800         0.82        32000           7270.63      
     229800         0.82        33000           7124.31      
     229800         0.82        34000           7009.31      
     229800         0.82        35000           6930.44      
     229800         0.82        36000           6894.24      
     229800         0.82        37000           6938.25      
     229800         0.82        38000           7048.15      
     229800         0.82        39000           7236.71      
     229800         0.82        40000           7525.62      
     229800         0.82        41000           7945.68      
     229800         0.83        28000           8302.29      
     229800         0.83        29000           8041.05      
     229800         0.83        30000           7802.25      
     229800         0.83        31000           7587.39      
     229800         0.83        32000           7398.55      
     229800         0.83        33000           7238.52      
     229800         0.83        34000           7111.09      
     229800         0.83        35000           7021.39      
     229800         0.83        36000           6976.39      
     229800         0.83        37000           7014.60      
     229800         0.83        38000           7122.26      
     229800         0.83        39000           7313.36      
     229800         0.83        40000           7611.46      
     229800         0.83        41000           8050.29      
     229800         0.84        28000           8528.37      
     229800         0.84        29000           8249.83      
     229800         0.84        30000           7994.88      
     229800         0.84        31000           7765.21      
     229800         0.84        32000           7563.15      
     229800         0.84        33000           7391.85      
